SalaryUSD	Country	PrimaryDatabase	YearsWithThisDatabase	OtherDatabases	JobTitle	YearsWithThisTypeOfJob	Education	HoursWorkedPerWeek
70000	United Kingdom	Microsoft SQL Server	20	"Microsoft SQL Server, Azure SQL DB"	Architect	2	Bachelors (4 years)	40
120000	United States	Microsoft SQL Server	12	"MySQL/MariaDB, PostgreSQL"	DBA	3	Associates (2 years)	50
12000	Albania	Microsoft SQL Server	6	"Oracle, Microsoft Access"	DBA	8	Bachelors (4 years)	160
12300	United States	Microsoft SQL Server	16	"Microsoft SQL Server, DB2"	DBA	4	Associates (2 years)	37
100000	United States	Microsoft SQL Server	6	Oracle	DBA	6	Bachelors (4 years)	40
80000	Denmark	Microsoft SQL Server	15	"Oracle, SAP"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	15	Bachelors (4 years)	37
120000	United States	Microsoft SQL Server	16		DBA	10	Bachelors (4 years)	40
120000	United States	Microsoft SQL Server	16		DBA	1	Bachelors (4 years)	40
120000	United States	Microsoft SQL Server	12		"Developer: Business Intelligence (SSRS, PowerBI, etc)"	9	Bachelors (4 years)	40
12900	India	Microsoft SQL Server	3	Microsoft SQL Server	DBA	1	Bachelors (4 years)	8
90000	United States	Microsoft SQL Server	5	Microsoft Access	DBA	3	Masters	40
118000	United States	Oracle	8	"Microsoft SQL Server, Microsoft Access"	Architect	2	Masters	50
96000	United States	Microsoft SQL Server	7		DBA	5	Bachelors (4 years)	40
67000	United States	Microsoft SQL Server	7	"Oracle, MySQL/MariaDB, DB2, Microsoft Access, Azure SQL DB"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	6	Bachelors (4 years)	40
110000	United States	Azure SQL DB	9	"Microsoft SQL Server, PostgreSQL"	DBA	7	Bachelors (4 years)	40
10000	India	Microsoft SQL Server	4	"Microsoft SQL Server, Azure SQL DB"	DBA	4	Masters	40
80000	United States	Microsoft SQL Server	10	"MySQL/MariaDB, DB2, SQLite, Azure SQL DB"	DBA	7	Bachelors (4 years)	40
110000	United States	Microsoft SQL Server	15	"Microsoft SQL Server, PostgreSQL, Microsoft Access, SQLite"	DBA	7	Bachelors (4 years)	50
53000	United States	Oracle	3	"MySQL/MariaDB, Microsoft Access"	Analyst	2	Masters	40
8300	Russia	Microsoft SQL Server	10	"Microsoft Access, SQLite"	DBA	5	Masters	40
123300	United States	Microsoft SQL Server	10		DBA	3	Bachelors (4 years)	80
180000	United States	Microsoft SQL Server	10		DBA	10	Bachelors (4 years)	40
130000	United States	Microsoft SQL Server	10	"Microsoft SQL Server, Oracle, DB2, Microsoft Access, Azure SQL DB"	Architect	2	None (no degree completed)	45
95000	United States	Microsoft SQL Server	3	Microsoft SQL Server	DBA	3	Bachelors (4 years)	40
